index,drug_row,drug_col,cell_line
248,5426,46926350,HT29
249,9703,46926350,HT29
250,5426,5743,HT29
251,5426,36462,HT29
252,42611257,46926350,HT29
253,2187,46926350,HT29
254,4091,444795,HT29
255,2708,11977753,HT29
256,5743,444795,HT29
257,3690,46926350,HT29
258,24856436,42611257,HT29
259,11977753,42611257,HT29
260,5453,9826528,HT29
261,2094,4091,HT29
262,24964624,42611257,HT29
263,4114,46926350,HT29
264,2123,9826528,HT29
265,2094,36462,HT29
266,4114,5743,HT29
267,4114,36462,HT29
268,2094,5743,HT29
269,6450551,9826528,HT29
270,4211,9826528,HT29
271,71384,9826528,HT29
272,2094,46926350,HT29
273,11683,9826528,HT29
274,3690,387447,HT29
275,2708,4091,HT29
276,354624,9826528,HT29
277,216326,9826528,HT29
278,2708,36462,HT29
279,2708,5743,HT29
280,60198,46926350,HT29
281,3902,9826528,HT29
282,2708,46926350,HT29
283,2478,9826528,HT29
284,9703,387447,HT29
285,57469,9826528,HT29
286,2662,9826528,HT29
287,5426,387447,HT29
288,444795,9826528,HT29
289,60699,9826528,HT29
290,3363,9826528,HT29
291,644241,9826528,HT29
292,36462,60198,HT29
293,4114,387447,HT29
294,3690,9826528,HT29
295,2187,9826528,HT29
296,3385,4091,HT29
297,9703,9826528,HT29
298,5426,9826528,HT29
299,3385,36462,HT29
300,3385,5743,HT29
301,4114,9826528,HT29
302,2094,9826528,HT29
303,5743,60198,HT29
304,4091,60198,HT29
305,9826528,25126798,HT29
306,60198,9826528,HT29
307,2708,9826528,HT29
308,9826528,11525740,HT29
309,9826528,11626560,HT29
310,9826528,42611257,HT29
